hhid,tipo,tcuerda,p16a07a,p16a07b
1161.0,mixta (agricola y pecuaria),cuerda/tarea de 30 varas por lado,2.0,cuerda
1165.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,6.0,cuerda
1165.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,6.0,cuerda
1166.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,10.0,cuerda
1166.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,5.0,cuerda
1166.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,3.0,cuerda
1167.0,agricola,cuerda/tarea de 40 varas por lado,3.0,cuerda
1167.0,agricola,cuerda/tarea de 40 varas por lado,2.0,cuerda
1168.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,7.0,cuerda
1168.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,3.0,cuerda
1168.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1174.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,5.0,cuerda
1175.0,agricola,cuerda/tarea de 40 varas por lado,6.0,cuerda
1178.0,agricola,cuerda/tarea de 40 varas por lado,8.0,cuerda
1180.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,4.0,cuerda
1182.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,10.0,cuerda
1185.0,agricola,cuerda/tarea de 40 varas por lado,10.0,cuerda
1185.0,agricola,cuerda/tarea de 40 varas por lado,4.0,cuerda
1185.0,agricola,cuerda/tarea de 40 varas por lado,3.0,cuerda
1191.0,agricola,cuerda/tarea de 40 varas por lado,2.0,manzana
1193.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,manzana
1199.0,agricola,cuerda/tarea de 40 varas por lado,5.0,cuerda
1201.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,5.0,cuerda
1202.0,agricola,cuerda/tarea de 40 varas por lado,1.0,cuerda
1203.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,8.0,cuerda
1205.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,3.0,cuerda
1205.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1205.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1208.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,5.0,cuerda
1209.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,4.0,cuerda
1209.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
1210.0,agricola,cuerda/tarea de 40 varas por lado,3.5,cuerda
1210.0,agricola,cuerda/tarea de 40 varas por lado,3.0,cuerda
1220.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1226.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1228.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
1229.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,10.0,cuerda
1235.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,25.0,cuerda
1240.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
1240.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,75.0,cuerda
1241.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,5.0,cuerda
1243.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1243.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1244.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,3.0,cuerda
1244.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,6.0,cuerda
1244.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
1273.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
1277.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,6.0,cuerda
1279.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
1280.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,5.0,cuerda
1282.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,5.0,cuerda
1283.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,5.0,cuerda
1283.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
1297.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,2.0,cuerda
1301.0,agricola,cuerda/tarea de 40 varas por lado,6.0,cuerda
1305.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1310.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1313.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,12.0,cuerda
1318.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.5,cuerda
1320.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,13.0,cuerda
1321.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,6.0,cuerda
1323.0,agricola,cuerda/tarea de 40 varas por lado,1.0,cuerda
1327.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,6.0,cuerda
1337.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,3.0,cuerda
1337.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1339.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,6.0,cuerda
1339.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1342.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1343.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
1346.0,agricola,cuerda/tarea de 40 varas por lado,3.0,cuerda
1349.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,3.0,cuerda
1350.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.5,cuerda
1350.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1351.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1351.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1353.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.5,cuerda
1353.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,275.0,cuerda
1353.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
1354.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,3.0,cuerda
1354.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,0.5,cuerda
1355.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
1355.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,3.0,cuerda
1356.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1357.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.5,cuerda
1358.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
1359.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
1359.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
1359.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
1360.0,agricola,cuerda/tarea de 40 varas por lado,3.0,cuerda
1360.0,agricola,cuerda/tarea de 40 varas por lado,8.0,cuerda
1361.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1361.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1361.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1362.0,agricola,cuerda/tarea de 40 varas por lado,4.0,cuerda
1362.0,agricola,cuerda/tarea de 40 varas por lado,1.0,cuerda
1362.0,agricola,cuerda/tarea de 40 varas por lado,1.0,cuerda
1363.0,agricola,cuerda/tarea de 40 varas por lado,1.0,cuerda
1363.0,agricola,cuerda/tarea de 40 varas por lado,2.0,cuerda
1364.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1364.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1365.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1365.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,4.0,cuerda
1366.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
1366.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
1366.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1367.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,6.0,cuerda
1368.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
1368.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1368.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1369.0,agricola,cuerda/tarea de 40 varas por lado,1.0,cuerda
1369.0,agricola,cuerda/tarea de 40 varas por lado,1.0,cuerda
1370.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1370.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
1371.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,3.0,cuerda
1371.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
1371.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
1372.0,agricola,cuerda/tarea de 40 varas por lado,2.0,cuerda
