depto,mupio,sector,c02b01,c02b02a,c02b02b
1,18,106,NO,5,Cuadras
1,18,106,NO,5,Cuadras
1,18,106,NO,5,Cuadras
1,18,106,NO,5,Cuadras
1,18,106,NO,5,Cuadras
1,18,106,NO,5,Cuadras
1,18,106,NO,5,Cuadras
1,18,106,NO,5,Cuadras
1,18,106,NO,5,Cuadras
1,18,106,NO,5,Cuadras
1,18,106,NO,5,Cuadras
1,18,106,NO,5,Cuadras
1,18,106,NO,5,Cuadras
1,18,106,NO,5,Cuadras
1,18,106,NO,5,Cuadras
1,18,106,NO,5,Cuadras
1,18,106,NO,5,Cuadras
1,18,106,NO,5,Cuadras
1,18,106,NO,5,Cuadras
1,18,106,NO,5,Cuadras
1,18,106,NO,5,Cuadras
1,18,106,NO,5,Cuadras
1,18,136,NO,1,Kilometr
1,18,136,NO,1,Kilometr
1,18,136,NO,1,Kilometr
1,18,136,NO,2,Kilometr
1,18,136,NO,12,Kilometr
1,18,136,NO,1,Kilometr
1,18,136,NO,1,Kilometr
1,18,136,NO,1,Kilometr
1,18,136,NO,1,Kilometr
1,18,136,NO,500,Metros
1,18,136,NO,1,Kilometr
1,18,136,NO,10,Kilometr
1,18,136,NO,500,Metros
1,18,136,NO,9,Kilometr
1,18,136,NO,10,Kilometr
1,18,136,NO,10,Kilometr
1,18,136,NO,10,Kilometr
1,18,136,NO,500,Metros
1,18,136,NO,500,Metros
1,18,136,NO,2,Kilometr
1,18,136,NO,7,Kilometr
1,18,136,NO,7,Kilometr
1,18,136,NO,1,Kilometr
1,18,136,NO,500,Metros
1,18,136,,10,Kilometr
1,18,137,SI,,
1,18,137,SI,,
1,18,137,SI,,
1,18,137,NO,500,Metros
1,18,137,NO,8,Kilometr
1,18,137,NO,8,Kilometr
1,18,137,SI,,
1,18,137,NO,3,Kilometr
1,18,137,NO,3,Kilometr
1,18,137,SI,1,Metros
1,18,137,SI,,
1,18,137,NO,8,Kilometr
1,18,137,SI,,
1,18,137,NO,1,Kilometr
1,18,137,NO,1,Kilometr
1,18,137,NO,1,Kilometr
1,18,137,NO,1,Kilometr
1,18,137,SI,,
1,18,137,SI,,
1,18,137,SI,,
1,18,137,NO,1,Kilometr
1,18,137,NO,8,Kilometr
1,18,137,NO,1,Kilometr
