hhid,p10d01,p10d03,p10d04,p10d06,p10e05a
994,no,missing,missing,missing,missing
995,no,missing,missing,missing,missing
996,si," profesionales, cientificos  e  intelectuales", organizaciones extraterritoriales,como empleado u obrero de una empresa privada,missing
997,no,missing,missing,missing,missing
998,si, operarios y artesanos de artes mecanicas y otros oficios, industria manufacturera,como empleado u obrero de una empresa privada,missing
999,no,missing,missing,missing,missing
1000,no,missing,missing,missing,missing
1001,no,missing,missing,missing,missing
1002,no,missing,missing,missing,missing
1003,no,missing,missing,missing,missing
1004,no,missing,missing,missing,missing
1005,no,missing,missing,missing,missing
1006,no,missing,missing,missing,missing
1007,missing,missing,missing,missing,missing
1008,no,missing,missing,missing,missing
1009,no,missing,missing,missing,missing
1010,missing,missing,missing,missing,missing
1011,no,missing,missing,missing,missing
1012,missing,missing,missing,missing,missing
1013,no,missing,missing,missing,missing
1014,missing,missing,missing,missing,missing
1015,si, operarios y artesanos de artes mecanicas y otros oficios, comercio,trabajador por su cuenta o en su finca,missing
1016,no,missing,missing,missing,missing
1017,no,missing,missing,missing,missing
1018,no,missing,missing,missing,missing
1019,no,missing,missing,missing,missing
1020,no,missing,missing,missing,missing
1021,si, trabajadores no calificados, comercio,trabajador por su cuenta o en su finca,missing
1022,no,missing,missing,missing,missing
1023,no,missing,missing,missing,missing
1024,no,missing,missing,missing,missing
1025,no,missing,missing,missing,missing
1026,missing,missing,missing,missing,missing
1027,no,missing,missing,missing,missing
1028,no,missing,missing,missing,missing
1029,no,missing,missing,missing,missing
1030,missing,missing,missing,missing,missing
1031,missing,missing,missing,missing,missing
1032,no,missing,missing,missing,missing
1033,no,missing,missing,missing,missing
1034,no,missing,missing,missing,missing
1035,no,missing,missing,missing,missing
1036,no,missing,missing,missing,missing
1037,no,missing,missing,missing,missing
1038,no,missing,missing,missing,missing
1039,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1040,si, trab. de los servicios y vend. de comercios y mercados, administracion publica y defensa,como empleado de gobierno,missing
1041,no,missing,missing,missing,missing
1042,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1043,no,missing,missing,missing,missing
1044,no,missing,missing,missing,missing
1045,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
1046,no,missing,missing,missing,missing
1047,no,missing,missing,missing,missing
1048,no,missing,missing,missing,missing
1049,no,missing,missing,missing,missing
1050,no,missing,missing,missing,missing
1051,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
1052,no,missing,missing,missing,missing
1053,si, trabajadores no calificados, servicios financieros,trabajador por su cuenta o en su finca,missing
1054,no,missing,missing,missing,missing
1055,no,missing,missing,missing,missing
1056,no,missing,missing,missing,missing
1057,no,missing,missing,missing,missing
1058,no,missing,missing,missing,missing
1059,no,missing,missing,missing,missing
1060,no,missing,missing,missing,missing
1061,si, trabajadores no calificados," servicios de salud, sociales y personales",como empleado (a) domestico (a),missing
1062,no,missing,missing,missing,missing
1063,missing,missing,missing,missing,missing
1064,no,missing,missing,missing,missing
1065,no,missing,missing,missing,missing
1066,si, trabajadores no calificados, construccion,como jornalero o peon,missing
1067,no,missing,missing,missing,missing
1068,no,missing,missing,missing,missing
1069,no,missing,missing,missing,missing
1070,no,missing,missing,missing,missing
1071,si, operarios y artesanos de artes mecanicas y otros oficios, construccion,trabajador por su cuenta o en su finca,no
1072,no,missing,missing,missing,missing
1073,missing,missing,missing,missing,missing
1074,si, operarios y artesanos de artes mecanicas y otros oficios, construccion,como empleado u obrero de una empresa privada,missing
1075,no,missing,missing,missing,missing
1076,no,missing,missing,missing,missing
1077,no,missing,missing,missing,missing
1078,si, operarios y artesanos de artes mecanicas y otros oficios, construccion,como empleado u obrero de una empresa privada,missing
1079,si, trab. de los servicios y vend. de comercios y mercados, comercio,como dueÑo o patron de empresa o finca o como socio activo,missing
1080,no,missing,missing,missing,missing
1081,no,missing,missing,missing,missing
1082,no,missing,missing,missing,missing
1083,no,missing,missing,missing,missing
1084,no,missing,missing,missing,missing
1085,missing,missing,missing,missing,missing
1086,si, operarios y artesanos de artes mecanicas y otros oficios, industria manufacturera,trabajador por su cuenta o en su finca,missing
1087,no,missing,missing,missing,missing
1088,no,missing,missing,missing,missing
1089,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
1090,no,missing,missing,missing,missing
1091,no,missing,missing,missing,missing
1092,si, trabajadores no calificados, comercio,como ayudante o trabajador familiar sin remuneracion,missing
1093,no,missing,missing,missing,missing
1094,si, agricultores y trab. calificados agropecuarios y pesqueros, comercio,trabajador por su cuenta o en su finca,missing
1095,si, operadores de instalaciones y maquinas y montadores, industria manufacturera,como empleado u obrero de una empresa privada,missing
1096,no,missing,missing,missing,missing
1097,si, personal directivo de la admon publica y de las empresas, comercio,trabajador por su cuenta o en su finca,missing
1098,no,missing,missing,missing,missing
1099,no,missing,missing,missing,missing
1100,no,missing,missing,missing,missing
1101,no,missing,missing,missing,missing
1102,no,missing,missing,missing,missing
1103,no,missing,missing,missing,missing
1104,no,missing,missing,missing,missing
1105,no,missing,missing,missing,si
1106,no,missing,missing,missing,missing
1107,no,missing,missing,missing,missing
1108,no,missing,missing,missing,missing
1109,no,missing,missing,missing,missing
1110,no,missing,missing,missing,missing
1111,no,missing,missing,missing,missing
1112,missing,missing,missing,missing,missing
1113,no,missing,missing,missing,missing
1114,no,missing,missing,missing,missing
1115,si, operarios y artesanos de artes mecanicas y otros oficios, industria manufacturera,como empleado u obrero de una empresa privada,missing
1116,missing,missing,missing,missing,missing
1117,no,missing,missing,missing,missing
1118,no,missing,missing,missing,missing
1119,no,missing,missing,missing,missing
1120,no,missing,missing,missing,missing
1121,no,missing,missing,missing,missing
1122,no,missing,missing,missing,missing
1123,no,missing,missing,missing,missing
1124,no,missing,missing,missing,missing
1125,no,missing,missing,missing,missing
1126,no,missing,missing,missing,missing
1127,no,missing,missing,missing,missing
1128,si, tecnicos y profesionales de nivel medio," servicios de salud, sociales y personales",trabajador por su cuenta o en su finca,missing
1129,no,missing,missing,missing,missing
1130,no,missing,missing,missing,missing
1131,no,missing,missing,missing,missing
1132,no,missing,missing,missing,missing
1133,no,missing,missing,missing,missing
1134,no,missing,missing,missing,missing
1135,no,missing,missing,missing,missing
1136,no,missing,missing,missing,missing
1137,no,missing,missing,missing,missing
1138,no,missing,missing,missing,missing
1139,no,missing,missing,missing,missing
1140,no,missing,missing,missing,missing
1141,no,missing,missing,missing,missing
1142,missing,missing,missing,missing,missing
1143,no,missing,missing,missing,missing
1144,no,missing,missing,missing,missing
1145,no,missing,missing,missing,missing
1146,si, trab. de los servicios y vend. de comercios y mercados," transporte, almacenamiento y comunicaciones",como jornalero o peon,missing
1147,missing,missing,missing,missing,missing
1148,no,missing,missing,missing,missing
1149,no,missing,missing,missing,missing
1150,no,missing,missing,missing,missing
1151,no,missing,missing,missing,missing
1152,no,missing,missing,missing,missing
1153,no,missing,missing,missing,missing
1154,no,missing,missing,missing,missing
1155,si, empleados de oficina, comercio,como empleado u obrero de una empresa privada,missing
1156,no,missing,missing,missing,missing
1157,si, operarios y artesanos de artes mecanicas y otros oficios," servicios de salud, sociales y personales",trabajador por su cuenta o en su finca,missing
1158,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1159,no,missing,missing,missing,missing
1160,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
1161,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
1162,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
1163,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1164,si, operadores de instalaciones y maquinas y montadores, industria manufacturera,como jornalero o peon,missing
1165,no,missing,missing,missing,missing
1166,no,missing,missing,missing,missing
1167,si, operarios y artesanos de artes mecanicas y otros oficios, construccion,como ayudante o trabajador familiar sin remuneracion,missing
1168,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1169,no,missing,missing,missing,missing
1170,no,missing,missing,missing,missing
1171,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
1172,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
1173,no,missing,missing,missing,missing
1174,no,missing,missing,missing,missing
1175,no,missing,missing,missing,missing
1176,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como empleado u obrero de una empresa privada,missing
1177,no,missing,missing,missing,missing
1178,no,missing,missing,missing,missing
1179,no,missing,missing,missing,missing
1180,no,missing,missing,missing,missing
1181,no,missing,missing,missing,missing
1182,no,missing,missing,missing,missing
1183,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
1184,no,missing,missing,missing,missing
1185,no,missing,missing,missing,missing
1186,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como empleado u obrero de una empresa privada,missing
1187,no,missing,missing,missing,missing
1188,no,missing,missing,missing,missing
1189,no,missing,missing,missing,missing
1190,no,missing,missing,missing,missing
1191,no,missing,missing,missing,missing
1192,no,missing,missing,missing,missing
1193,no,missing,missing,missing,missing
1194,no,missing,missing,missing,missing
1195,no,missing,missing,missing,missing
1196,si, agricultores y trab. calificados agropecuarios y pesqueros, servicios financieros,como empleado u obrero de una empresa privada,missing
1197,si, operarios y artesanos de artes mecanicas y otros oficios, comercio,trabajador por su cuenta o en su finca,missing
1198,si, operarios y artesanos de artes mecanicas y otros oficios, construccion,como jornalero o peon,missing
1199,no,missing,missing,missing,missing
1200,no,missing,missing,missing,missing
1201,no,missing,missing,missing,missing
1202,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1203,no,missing,missing,missing,missing
1204,no,missing,missing,missing,missing
1205,si, tecnicos y profesionales de nivel medio, administracion publica y defensa,como empleado de gobierno,missing
1206,si, operarios y artesanos de artes mecanicas y otros oficios, industria manufacturera,como ayudante o trabajador sin pago en otros sitios,missing
1207,missing,missing,missing,missing,missing
1208,no,missing,missing,missing,missing
1209,si, operarios y artesanos de artes mecanicas y otros oficios, construccion,como empleado de gobierno,missing
1210,no,missing,missing,missing,missing
1211,no,missing,missing,missing,missing
1212,no,missing,missing,missing,missing
1213,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como empleado u obrero de una empresa privada,missing
1214,missing,missing,missing,missing,missing
1215,no,missing,missing,missing,missing
1216,si, personal directivo de la admon publica y de las empresas, servicios financieros,como empleado de gobierno,missing
1217,si, operarios y artesanos de artes mecanicas y otros oficios, construccion,trabajador por su cuenta o en su finca,missing
1218,no,missing,missing,missing,missing
1219,no,missing,missing,missing,missing
1220,no,missing,missing,missing,missing
1221,si, trabajadores no calificados, comercio,trabajador por su cuenta o en su finca,missing
1222,missing,missing,missing,missing,missing
1223,no,missing,missing,missing,missing
1224,no,missing,missing,missing,missing
1225,no,missing,missing,missing,missing
1226,no,missing,missing,missing,missing
1227,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1228,no,missing,missing,missing,missing
1229,no,missing,missing,missing,missing
1230,missing,missing,missing,missing,missing
1231,no,missing,missing,missing,missing
1232,si, trabajadores no calificados, comercio,como empleado u obrero de una empresa privada,missing
1233,si, operarios y artesanos de artes mecanicas y otros oficios, industria manufacturera,como empleado u obrero de una empresa privada,missing
1234,si, trabajadores no calificados," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,missing
1235,no,missing,missing,missing,missing
1236,no,missing,missing,missing,missing
1237,no,missing,missing,missing,missing
1238,no,missing,missing,missing,missing
1239,no,missing,missing,missing,missing
1240,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1241,no,missing,missing,missing,missing
1242,no,missing,missing,missing,missing
1243,no,missing,missing,missing,missing
1244,no,missing,missing,missing,missing
1245,no,missing,missing,missing,missing
1246,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1247,si, trabajadores no calificados, comercio,trabajador por su cuenta o en su finca,missing
1248,si, trab. de los servicios y vend. de comercios y mercados, industria manufacturera,como empleado u obrero de una empresa privada,missing
1249,no,missing,missing,missing,missing
1250,no,missing,missing,missing,missing
1251,no,missing,missing,missing,missing
1252,no,missing,missing,missing,missing
1253,no,missing,missing,missing,missing
1254,si, personal directivo de la admon publica y de las empresas, comercio,trabajador por su cuenta o en su finca,missing
1255,missing,missing,missing,missing,missing
1256,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1257,no,missing,missing,missing,missing
1258,missing,missing,missing,missing,missing
1259,si, operarios y artesanos de artes mecanicas y otros oficios," agricultura, ganaderia, caza y pesca",como empleado u obrero de una empresa privada,missing
1260,no,missing,missing,missing,missing
1261,si, operarios y artesanos de artes mecanicas y otros oficios, construccion,como jornalero o peon,missing
1262,no,missing,missing,missing,missing
1263,no,missing,missing,missing,missing
1264,no,missing,missing,missing,missing
1265,no,missing,missing,missing,missing
1266,no,missing,missing,missing,missing
1267,no,missing,missing,missing,missing
1268,no,missing,missing,missing,missing
1269,no,missing,missing,missing,missing
1270,no,missing,missing,missing,missing
1271,no,missing,missing,missing,missing
1272,no,missing,missing,missing,missing
1273,no,missing,missing,missing,missing
1274,missing,missing,missing,missing,missing
1275,no,missing,missing,missing,missing
1276,no,missing,missing,missing,missing
1277,no,missing,missing,missing,missing
1278,missing,missing,missing,missing,missing
1279,no,missing,missing,missing,missing
1280,no,missing,missing,missing,missing
1281,no,missing,missing,missing,missing
1282,missing,missing,missing,missing,missing
1283,no,missing,missing,missing,missing
1284,no,missing,missing,missing,missing
1285,no,missing,missing,missing,missing
1286,no,missing,missing,missing,missing
1287,no,missing,missing,missing,missing
1288,no,missing,missing,missing,missing
1289,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
1290,no,missing,missing,missing,missing
1291,no,missing,missing,missing,missing
1292,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como empleado u obrero de una empresa privada,missing
1293,no,missing,missing,missing,missing
1294,no,missing,missing,missing,missing
1295,no,missing,missing,missing,missing
1296,no,missing,missing,missing,missing
1297,no,missing,missing,missing,missing
1298,no,missing,missing,missing,missing
1299,no,missing,missing,missing,missing
1300,no,missing,missing,missing,missing
1301,no,missing,missing,missing,missing
1302,no,missing,missing,missing,missing
1303,no,missing,missing,missing,missing
1304,no,missing,missing,missing,missing
1305,no,missing,missing,missing,missing
1306,no,missing,missing,missing,missing
1307,no,missing,missing,missing,missing
1308,no,missing,missing,missing,missing
1309,no,missing,missing,missing,missing
1310,no,missing,missing,missing,missing
1311,no,missing,missing,missing,missing
1312,no,missing,missing,missing,missing
1313,no,missing,missing,missing,missing
1314,no,missing,missing,missing,missing
1315,no,missing,missing,missing,missing
1316,no,missing,missing,missing,missing
1317,no,missing,missing,missing,missing
1318,no,missing,missing,missing,missing
1319,si, agricultores y trab. calificados agropecuarios y pesqueros," servicios de salud, sociales y personales",como jornalero o peon,missing
1320,no,missing,missing,missing,missing
1321,no,missing,missing,missing,missing
1322,no,missing,missing,missing,missing
1323,no,missing,missing,missing,missing
1324,no,missing,missing,missing,missing
1325,no,missing,missing,missing,missing
1326,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1327,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1328,no,missing,missing,missing,missing
1329,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1330,si, agricultores y trab. calificados agropecuarios y pesqueros," transporte, almacenamiento y comunicaciones",trabajador por su cuenta o en su finca,missing
1331,no,missing,missing,missing,missing
1332,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1333,missing,missing,missing,missing,missing
1334,no,missing,missing,missing,missing
1335,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1336,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1337,si, agricultores y trab. calificados agropecuarios y pesqueros," transporte, almacenamiento y comunicaciones",trabajador por su cuenta o en su finca,missing
1338,no,missing,missing,missing,missing
1339,no,missing,missing,missing,missing
1340,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1341,no,missing,missing,missing,missing
1342,no,missing,missing,missing,missing
1343,si, trabajadores no calificados," servicios de salud, sociales y personales",como empleado (a) domestico (a),missing
1344,no,missing,missing,missing,missing
1345,no,missing,missing,missing,missing
1346,no,missing,missing,missing,missing
1347,no,missing,missing,missing,missing
1348,no,missing,missing,missing,missing
1349,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1350,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1351,no,missing,missing,missing,missing
1352,si, trabajadores no calificados, administracion publica y defensa,como empleado de gobierno,missing
1353,no,missing,missing,missing,missing
1354,no,missing,missing,missing,missing
1355,no,missing,missing,missing,missing
1356,no,missing,missing,missing,missing
1357,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
1358,no,missing,missing,missing,missing
1359,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1360,si, trab. de los servicios y vend. de comercios y mercados, comercio,como dueÑo o patron de empresa o finca o como socio activo,missing
1361,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como dueÑo o patron de empresa o finca o como socio activo,missing
1362,si," profesionales, cientificos  e  intelectuales", enseÑanza,como empleado u obrero de una empresa privada,missing
1363,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como dueÑo o patron de empresa o finca o como socio activo,missing
1364,no,missing,missing,missing,missing
1365,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
1366,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
1367,no,missing,missing,missing,missing
1368,no,missing,missing,missing,missing
1369,si, trabajadores no calificados, construccion,como jornalero o peon,missing
1370,si, tecnicos y profesionales de nivel medio, industria manufacturera,trabajador por su cuenta o en su finca,missing
1371,no,missing,missing,missing,missing
1372,no,missing,missing,missing,missing
1373,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
1374,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1375,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1376,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1377,no,missing,missing,missing,missing
1378,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como dueÑo o patron de empresa o finca o como socio activo,missing
1379,no,missing,missing,missing,missing
1380,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1381,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
1382,no,missing,missing,missing,missing
1383,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1384,no,missing,missing,missing,missing
1385,no,missing,missing,missing,missing
1386,no,missing,missing,missing,missing
1387,no,missing,missing,missing,missing
1388,no,missing,missing,missing,missing
1389,no,missing,missing,missing,missing
1390,no,missing,missing,missing,missing
1391,no,missing,missing,missing,missing
1392,no,missing,missing,missing,missing
1393,no,missing,missing,missing,missing
1394,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1395,si, trabajadores no calificados, construccion,como jornalero o peon,missing
1396,si, trab. de los servicios y vend. de comercios y mercados, comercio,como empleado u obrero de una empresa privada,missing
1397,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1398,no,missing,missing,missing,missing
1399,no,missing,missing,missing,missing
1400,no,missing,missing,missing,missing
1401,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
1402,no,missing,missing,missing,missing
1403,no,missing,missing,missing,missing
1404,no,missing,missing,missing,missing
1405,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
1406,no,missing,missing,missing,missing
1407,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
1408,si, operarios y artesanos de artes mecanicas y otros oficios, construccion,trabajador por su cuenta o en su finca,missing
1409,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
1410,no,missing,missing,missing,missing
1411,no,missing,missing,missing,missing
1412,no,missing,missing,missing,missing
1413,no,missing,missing,missing,missing
1414,no,missing,missing,missing,missing
1415,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1416,si, agricultores y trab. calificados agropecuarios y pesqueros,missing,trabajador por su cuenta o en su finca,missing
1417,no,missing,missing,missing,missing
1418,no,missing,missing,missing,missing
1419,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1420,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
1421,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1422,no,missing,missing,missing,missing
1423,no,missing,missing,missing,missing
1424,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1425,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
1426,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
1427,no,missing,missing,missing,missing
1428,si, agricultores y trab. calificados agropecuarios y pesqueros," transporte, almacenamiento y comunicaciones",como jornalero o peon,missing
1429,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como ayudante o trabajador familiar sin remuneracion,missing
1430,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1431,no,missing,missing,missing,missing
1432,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1433,missing,missing,missing,missing,missing
1434,no,missing,missing,missing,missing
1435,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
1436,no,missing,missing,missing,missing
1437,si, operarios y artesanos de artes mecanicas y otros oficios, industria manufacturera,trabajador por su cuenta o en su finca,missing
1438,si, operarios y artesanos de artes mecanicas y otros oficios, industria manufacturera,trabajador por su cuenta o en su finca,missing
1439,no,missing,missing,missing,missing
1440,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como dueÑo o patron de empresa o finca o como socio activo,missing
1441,no,missing,missing,missing,missing
1442,no,missing,missing,missing,missing
1443,si, trab. de los servicios y vend. de comercios y mercados, industria manufacturera,como empleado u obrero de una empresa privada,missing
1444,no,missing,missing,missing,missing
1445,no,missing,missing,missing,missing
1446,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1447,no,missing,missing,missing,missing
1448,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
1449,si, operarios y artesanos de artes mecanicas y otros oficios, industria manufacturera,trabajador por su cuenta o en su finca,missing
1450,no,missing,missing,missing,missing
1451,no,missing,missing,missing,missing
1452,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como dueÑo o patron de empresa o finca o como socio activo,missing
1453,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1454,si, operarios y artesanos de artes mecanicas y otros oficios, construccion,como empleado u obrero de una empresa privada,missing
1455,no,missing,missing,missing,missing
1456,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
1457,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como dueÑo o patron de empresa o finca o como socio activo,missing
1458,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1459,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1460,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1461,no,missing,missing,missing,missing
1462,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1463,si, operadores de instalaciones y maquinas y montadores, industria manufacturera,como empleado u obrero de una empresa privada,missing
1464,si, operadores de instalaciones y maquinas y montadores," transporte, almacenamiento y comunicaciones",como empleado u obrero de una empresa privada,missing
1465,si, trabajadores no calificados," servicios de salud, sociales y personales",trabajador por su cuenta o en su finca,missing
1466,no,missing,missing,missing,no
1467,no,missing,missing,missing,missing
1468,no,missing,missing,missing,missing
1469,si, trabajadores no calificados, comercio,como empleado u obrero de una empresa privada,missing
1470,no,missing,missing,missing,missing
1471,no,missing,missing,missing,missing
1472,no,missing,missing,missing,missing
1473,no,missing,missing,missing,missing
1474,no,missing,missing,missing,missing
1475,no,missing,missing,missing,missing
1476,no,missing,missing,missing,missing
1477,no,missing,missing,missing,missing
1478,no,missing,missing,missing,missing
1479,no,missing,missing,missing,missing
1480,no,missing,missing,missing,missing
1481,no,missing,missing,missing,missing
1482,no,missing,missing,missing,missing
1483,no,missing,missing,missing,missing
1484,no,missing,missing,missing,missing
1485,no,missing,missing,missing,missing
1486,no,missing,missing,missing,missing
1487,no,missing,missing,missing,missing
1488,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1489,no,missing,missing,missing,missing
1490,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
1491,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
