hhid,p10d01,p10d03,p10d04,p10d06,p10e05a
3706,si, operadores de instalaciones y maquinas y montadores, organizaciones extraterritoriales,como empleado de gobierno,missing
3707,missing,missing,missing,missing,missing
3708,no,missing,missing,missing,missing
3709,no,missing,missing,missing,missing
3710,no,missing,missing,missing,missing
3711,no,missing,missing,missing,missing
3712,no,missing,missing,missing,missing
3713,missing,missing,missing,missing,missing
3714,no,missing,missing,missing,missing
3715,no,missing,missing,missing,missing
3716,si, tecnicos y profesionales de nivel medio," servicios de salud, sociales y personales",trabajador por su cuenta o en su finca,missing
3717,no,missing,missing,missing,missing
3718,no,missing,missing,missing,missing
3719,no,missing,missing,missing,missing
3720,no,missing,missing,missing,missing
3721,no,missing,missing,missing,missing
3722,missing,missing,missing,missing,missing
3723,no,missing,missing,missing,missing
3724,no,missing,missing,missing,missing
3725,no,missing,missing,missing,missing
3726,missing,missing,missing,missing,missing
3727,missing,missing,missing,missing,missing
3728,si, trab. de los servicios y vend. de comercios y mercados, comercio,como empleado u obrero de una empresa privada,missing
3729,no,missing,missing,missing,missing
3730,no,missing,missing,missing,missing
3731,no,missing,missing,missing,missing
3732,no,missing,missing,missing,missing
3733,no,missing,missing,missing,missing
3734,no,missing,missing,missing,missing
3735,no,missing,missing,missing,no
3736,si, operarios y artesanos de artes mecanicas y otros oficios, industria manufacturera,trabajador por su cuenta o en su finca,missing
3737,no,missing,missing,missing,missing
3738,no,missing,missing,missing,missing
3739,missing,missing,missing,missing,no
3740,no,missing,missing,missing,missing
3741,no,missing,missing,missing,missing
3742,no,missing,missing,missing,missing
3743,no,missing,missing,missing,missing
3744,no,missing,missing,missing,missing
3745,no,missing,missing,missing,missing
3746,missing,missing,missing,missing,missing
3747,no,missing,missing,missing,missing
3748,no,missing,missing,missing,missing
3749,no,missing,missing,missing,missing
3750,no,missing,missing,missing,missing
3751,no,missing,missing,missing,missing
3752,no,missing,missing,missing,missing
3753,si, trab. de los servicios y vend. de comercios y mercados, comercio,como empleado u obrero de una empresa privada,missing
3754,no,missing,missing,missing,missing
3755,no,missing,missing,missing,missing
3756,no,missing,missing,missing,missing
3757,no,missing,missing,missing,missing
3758,no,missing,missing,missing,missing
3759,no,missing,missing,missing,missing
3760,no,missing,missing,missing,missing
3761,no,missing,missing,missing,missing
3762,si, operarios y artesanos de artes mecanicas y otros oficios, construccion,trabajador por su cuenta o en su finca,missing
3763,si, trabajadores no calificados, administracion publica y defensa,como empleado u obrero de una empresa privada,missing
3764,no,missing,missing,missing,missing
3765,no,missing,missing,missing,missing
3766,no,missing,missing,missing,missing
3767,no,missing,missing,missing,missing
3768,si, trabajadores no calificados, construccion,como empleado u obrero de una empresa privada,missing
3769,no,missing,missing,missing,missing
3770,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como dueÑo o patron de empresa o finca o como socio activo,missing
3771,si, fuerzas armadas, administracion publica y defensa,como empleado de gobierno,missing
3772,si, operarios y artesanos de artes mecanicas y otros oficios, construccion,como empleado u obrero de una empresa privada,missing
3773,no,missing,missing,missing,missing
3774,no,missing,missing,missing,missing
3775,no,missing,missing,missing,missing
3776,no,missing,missing,missing,missing
3777,no,missing,missing,missing,missing
3778,si, operarios y artesanos de artes mecanicas y otros oficios, construccion,como dueÑo o patron de empresa o finca o como socio activo,missing
3779,no,missing,missing,missing,missing
3780,missing,missing,missing,missing,missing
3781,no,missing,missing,missing,missing
3782,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
3783,no,missing,missing,missing,missing
3784,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
3785,no,missing,missing,missing,missing
3786,no,missing,missing,missing,missing
3787,no,missing,missing,missing,no
3788,no,missing,missing,missing,missing
3789,si, operarios y artesanos de artes mecanicas y otros oficios," electricidad, gas y agua",trabajador por su cuenta o en su finca,missing
3790,si, tecnicos y profesionales de nivel medio," servicios de salud, sociales y personales",trabajador por su cuenta o en su finca,missing
3791,no,missing,missing,missing,missing
3792,no,missing,missing,missing,missing
3793,no,missing,missing,missing,missing
3794,no,missing,missing,missing,missing
3795,missing,missing,missing,missing,missing
3796,no,missing,missing,missing,missing
3797,no,missing,missing,missing,missing
3798,no,missing,missing,missing,missing
3799,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
3800,si, operadores de instalaciones y maquinas y montadores," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,missing
3801,no,missing,missing,missing,missing
3802,no,missing,missing,missing,missing
3803,missing,missing,missing,missing,missing
3804,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como ayudante o trabajador sin pago en otros sitios,missing
3805,no,missing,missing,missing,missing
3806,missing,missing,missing,missing,missing
3807,no,missing,missing,missing,missing
3808,no,missing,missing,missing,missing
3809,no,missing,missing,missing,missing
3810,no,missing,missing,missing,missing
3811,no,missing,missing,missing,missing
3812,no,missing,missing,missing,missing
3813,si, trabajadores no calificados," transporte, almacenamiento y comunicaciones",como jornalero o peon,missing
3814,missing,missing,missing,missing,missing
3815,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3816,no,missing,missing,missing,missing
3817,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3818,no,missing,missing,missing,missing
3819,no,missing,missing,missing,missing
3820,no,missing,missing,missing,missing
