hhid,batteries_cooking,batteries_home_business,batteries_household,batteries_other,candles_cooking,candles_home_business,candles_household,candles_other,charcoal_cooking,charcoal_home_business,charcoal_household,charcoal_other,electricity_cooking,electricity_home_business,electricity_household,electricity_other,kerosene_cooking,kerosene_home_business,kerosene_household,kerosene_other,other_energy_cooking,other_energy_home_business,other_energy_household,other_energy_other,propane_gas_cooking,propane_gas_home_business,propane_gas_household,propane_gas_other
3118,missing,missing,missing,missing,no,no,si,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,si,no,no,no,no,no,si,missing
3119,missing,missing,missing,missing,no,no,si,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,si,no,no,no,missing,missing,missing,missing
3120,missing,missing,missing,missing,no,no,si,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,no,no,si,no,no,no,si,missing
3121,missing,missing,missing,missing,no,no,si,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
3122,no,no,si,missing,no,no,si,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,no,no,si,no,no,no,si,missing
3123,no,no,si,missing,no,no,si,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,si,no,no,no,no,no,si,missing
3124,no,no,si,missing,no,no,si,missing,no,no,si,no,no,no,si,no,missing,missing,missing,missing,si,no,no,no,missing,missing,missing,missing
3125,missing,missing,missing,missing,no,no,si,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,si,no,no,no,no,no,si,missing
3126,missing,missing,missing,missing,no,no,si,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,si,no,no,no,missing,missing,missing,missing
3127,missing,missing,missing,missing,no,no,si,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,si,no,no,no,no,no,si,missing
3128,missing,missing,missing,missing,no,no,si,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
3129,no,no,si,missing,no,no,si,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,si,no,no,no,no,no,si,missing
3130,no,no,si,missing,si,no,si,missing,missing,missing,missing,missing,si,no,si,no,missing,missing,missing,missing,si,no,no,no,no,no,si,missing
3131,no,no,si,missing,si,no,si,missing,no,no,si,no,no,si,si,no,missing,missing,missing,missing,si,no,no,no,no,si,si,missing
