depto,mupio,sector,hhid,upm2,agreg3,consumption_per_capita_per_day
chimaltenango,15,12,1749,4152012.0,1276.5361328125,2.405625535025077
chimaltenango,15,12,1750,4152012.0,1614.6287841796875,3.042759333612743
chimaltenango,15,12,1751,4152012.0,3529.84814453125,6.651980005091254
chimaltenango,15,12,1752,4152012.0,2826.715087890625,5.3269295093812605
chimaltenango,15,12,1753,4152012.0,2082.11181640625,3.923728614942401
chimaltenango,15,12,1754,4152012.0,3981.78564453125,7.5036538138381035
chimaltenango,15,12,1755,4152012.0,2414.336181640625,4.549803659606021
chimaltenango,15,12,1756,4152012.0,1902.79638671875,3.585809643914259
chimaltenango,15,12,1757,4152012.0,2553.6904296875,4.812415996929512
chimaltenango,15,13,1758,4152013.0,2293.3466796875,4.321799588364306
chimaltenango,15,13,1759,4152013.0,1732.363525390625,3.264629825592151
chimaltenango,15,13,1760,4152013.0,1703.2415771484375,3.2097496694255296
chimaltenango,15,13,1761,4152013.0,3611.0546875,6.80501330227363
chimaltenango,15,13,1762,4152013.0,8427.525390625,15.881626657987825
chimaltenango,15,13,1763,4152013.0,6942.5771484375,13.083249614224545
chimaltenango,15,13,1764,4152013.0,3466.890625,6.533336895262054
chimaltenango,15,13,1765,4152013.0,5926.833984375,11.169087038103543
chimaltenango,15,13,1766,4152013.0,14476.7978515625,27.281448352257645
chimaltenango,15,13,1767,4152013.0,7860.47802734375,14.813028925722632
chimaltenango,15,13,1768,4152013.0,3489.4853515625,6.575916536980384
chimaltenango,15,13,1769,4152013.0,2962.91796875,5.583603112044897
chimaltenango,15,13,1770,4152013.0,4559.75146484375,8.592827320154893
chimaltenango,15,13,1771,4152013.0,1853.137451171875,3.492227644687549
chimaltenango,16,1,1772,4161001.0,9185.375,17.30979020554411
chimaltenango,16,1,1773,4161001.0,12355.1240234375,23.28316533719975
chimaltenango,16,1,1774,4161001.0,13594.126953125,25.618059751085426
chimaltenango,16,1,1775,4161001.0,2893.667236328125,5.453100476082519
chimaltenango,16,1,1776,4161001.0,17627.689453125,33.21928677294898
chimaltenango,16,1,1777,4161001.0,5476.2724609375,10.32000624985119
chimaltenango,16,1,1778,4161001.0,5610.06494140625,10.5721374658324
chimaltenango,16,1,1779,4161001.0,5921.18994140625,11.158450869226373
chimaltenango,16,1,1780,4161001.0,6986.84619140625,13.166674389629936
chimaltenango,16,1,1781,4161001.0,8204.7490234375,15.461805782000846
chimaltenango,16,1,1782,4161001.0,4628.54345703125,8.72246546259187
chimaltenango,16,1,1783,4161001.0,5402.30517578125,10.180615295412384
escuintla,1,9,1784,5011009.0,6661.40966796875,12.553390996635663
escuintla,1,9,1785,5011009.0,2967.10302734375,5.5914898326475635
escuintla,1,9,1786,5011009.0,32717.142578125,61.655280720952405
escuintla,1,9,1787,5011009.0,17313.54296875,32.6272793983627
escuintla,1,9,1788,5011009.0,13273.7099609375,25.014235637964614
escuintla,1,9,1789,5011009.0,24676.216796875,46.50219896524964
escuintla,1,9,1790,5011009.0,34816.18359375,65.61091232154585
escuintla,1,9,1791,5011009.0,5305.84033203125,9.998827811774198
escuintla,1,9,1792,5011009.0,3701.0947265625,6.974693275739153
escuintla,1,17,1793,5011017.0,11153.3466796875,21.01842234150403
escuintla,1,17,1794,5011017.0,17802.2890625,33.54831880574582
escuintla,1,17,1795,5011017.0,8132.9736328125,15.32654544111768
escuintla,1,17,1796,5011017.0,5464.32373046875,10.297488931000663
escuintla,1,17,1797,5011017.0,8647.0498046875,16.295319245652113
escuintla,1,17,1798,5011017.0,9814.40234375,18.495188880488048
escuintla,1,17,1799,5011017.0,8070.30712890625,15.208450748681921
escuintla,1,17,1800,5011017.0,9201.03515625,17.33930168648784
